ORF,Gene,Plate,Row,Column,wellId
BLANK,BLANK,1,1,1,r01c01
BLANK,BLANK,1,1,2,r01c02
YNL088W,TOP2,1,1,3,r01c03
,Whi5,1,1,4,r01c04
YMR190C,SGS1,1,1,5,r01c05
YJL092W,HPR5,1,1,6,r01c06
YKL010C,UFD4,1,1,7,r01c07
YEL025C,0,1,1,8,r01c08
YHR164C,DNA2,1,1,9,r01c09
YPR010C,RPA135,1,1,10,r01c10
YNR031C,SSK2,1,1,11,r01c11
YFL008W,SMC1,1,1,12,r01c12
YCL014W,BUD3,1,1,13,r01c13
YGR090W,UTP22,1,1,14,r01c14
,Kel1,1,1,15,r01c15
YJL197W,UBP12,1,1,16,r01c16
YFL033C,RIM15,1,1,17,r01c17
YMR076C,PDS5,1,1,18,r01c18
,Rpn11,1,1,19,r01c19
YDR217C,RAD9,1,1,20,r01c20
,No GFP,1,1,21,r01c21
YLR384C,IKI3,1,1,22,r01c22
,Hole,1,1,23,r01c23
YML049C,RSE1,1,1,24,r01c24
YOL089C,HAL9,1,2,1,r02c01
YGL093W,SPC105,1,2,2,r02c02
YCL024W,KCC4,1,2,3,r02c03
YER032W,FIR1,1,2,4,r02c04
,Whi5,1,2,5,r02c05
YGR089W,NNF2,1,2,6,r02c06
YLR039C,RIC1,1,2,7,r02c07
,Kel1,1,2,8,r02c08
YGL013C,PDR1,1,2,9,r02c09
YGR100W,MDR1,1,2,10,r02c10
YFL034W,0,1,2,11,r02c11
YGL227W,VID30,1,2,12,r02c12
YOL051W,GAL11,1,2,13,r02c13
YBR079C,RPG1,1,2,14,r02c14
YMR308C,PSE1,1,2,15,r02c15
YOR160W,MTR10,1,2,16,r02c16
YDL102W,CDC2,1,2,17,r02c17
YBL085W,BOI1,1,2,18,r02c18
YOR109W,INP53,1,2,19,r02c19
YOL021C,DIS3,1,2,20,r02c20
YNR067C,DSE4,1,2,21,r02c21
YDR495C,VPS3,1,2,22,r02c22
YML104C,MDM1,1,2,23,r02c23
YGR188C,BUB1,1,2,24,r02c24
YCR042C,TAF2,1,3,1,r03c01
YER129W,SAK1,1,3,2,r03c02
YPR189W,SKI3,1,3,3,r03c03
YBL105C,PKC1,1,3,4,r03c04
YGR116W,SPT6,1,3,5,r03c05
YLR272C,YCS4,1,3,6,r03c06
YGL197W,MDS3,1,3,7,r03c07
YJL076W,NET1,1,3,8,r03c08
YGL173C,KEM1,1,3,9,r03c09
YPR122W,AXL1,1,3,10,r03c10
YJR138W,IML1,1,3,11,r03c11
YCR033W,SNT1,1,3,12,r03c12
YJR140C,HIR3,1,3,13,r03c13
YNL273W,TOF1,1,3,14,r03c14
YOR290C,SNF2,1,3,15,r03c15
YGL133W,ITC1,1,3,16,r03c16
YBR208C,"DUR1,2",1,3,17,r03c17
YMR012W,CLU1,1,3,18,r03c18
YNL271C,BNI1,1,3,19,r03c19
YNL250W,RAD50,1,3,20,r03c20
YER155C,BEM2,1,3,21,r03c21
YFL036W,RPO41,1,3,22,r03c22
YHR165C,PRP8,1,3,23,r03c23
YOR336W,KRE5,1,3,24,r03c24
YGR258C,RAD2,1,4,1,r04c01
YDR103W,STE5,1,4,2,r04c02
YPL009C,TAE2,1,4,3,r04c03
YDR081C,PDC2,1,4,4,r04c04
YDL223C,HBT1,1,4,5,r04c05
YLR409C,UTP21,1,4,6,r04c06
YJL098W,SAP185,1,4,7,r04c07
YDR356W,SPC110,1,4,8,r04c08
YHR154W,RTT107,1,4,9,r04c09
YDR421W,ARO80,1,4,10,r04c10
YPR042C,PUF2,1,4,11,r04c11
YBR073W,RDH54,1,4,12,r04c12
YLR071C,RGR1,1,4,13,r04c13
YBR112C,CYC8,1,4,14,r04c14
YPL160W,CDC60,1,4,15,r04c15
YNL236W,SIN4,1,4,16,r04c16
YML100W,TSL1,1,4,17,r04c17
YOR346W,REV1,1,4,18,r04c18
YBR059C,AKL1,1,4,19,r04c19
YPL040C,ISM1,1,4,20,r04c20
YBL101C,ECM21,1,4,21,r04c21
YPL183C,RTT10,1,4,22,r04c22
YPL115C,BEM3,1,4,23,r04c23
YEL055C,POL5,1,4,24,r04c24
YJR031C,GEA1,1,5,1,r05c01
YDR507C,GIN4,1,5,2,r05c02
YMR280C,CAT8,1,5,3,r05c03
YLR035C-A,0,1,5,4,r05c04
YEL022W,GEA2,1,5,5,r05c05
YPR049C,ATG11,1,5,6,r05c06
YGL150C,INO80,1,5,7,r05c07
YAL001C,TFC3,1,5,8,r05c08
YPR184W,GDB1,1,5,9,r05c09
YMR109W,MYO5,1,5,10,r05c10
YDR127W,ARO1,1,5,11,r05c11
YPL012W,RRP12,1,5,12,r05c12
YGL206C,CHC1,1,5,13,r05c13
YNL091W,NST1,1,5,14,r05c14
