Image Path,Center_X,Center_Y,Saved Label
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,720,34,Telophase
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,111,40,Abberent
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,147,47,Abberent
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,833,41,Telophase
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,752,50,Telophase
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,797,39,S/G2
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,179,50,Over_seg
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,513,54,Abberent
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,849,53,Late G1
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,363,58,S/G2
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,877,51,Over_seg
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,720,55,Over_seg
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,75,59,Over_seg
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,96,60,Over_seg
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,778,63,Over_seg
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,170,67,Over_seg
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,495,71,Over_seg
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,115,78,Over_seg
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,771,80,Telophase
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,70,75,Abberent
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,728,79,S/G2
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,185,81,Over_seg
