Image Path,Center_X,Center_Y,Saved Label
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,720,34,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,111,40,Cytoplasm
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,147,47,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,833,41,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,752,50,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,797,39,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,179,50,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,513,54,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,849,53,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,363,58,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,877,51,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,720,55,Cytoplasm
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,75,59,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,96,60,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,778,63,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,170,67,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,495,71,Cytoplasm
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,115,78,Cell Periphery
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,771,80,Cytoplasm
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,70,75,Eisosomes
/home/myra/git/CycleNET/example/input_images/r01c01f01p01-ch1sk1fk1fl1.tiff,728,79,Cytoplasm
